Family,CF,CG,HB,PA,PR,SH
Spongillidae,1,,,,,
Bougainvilliidae,,,,,,
Hydridae,1,,,,1,
Dugesiidae,,,,,1,
Planariidae,,,,,1,
Gordiidae,,,,1,,
Bithyniidae,1,,1,,,
Hydrobiidae,1,,1,,,1
Lymnaeidae,,,1,,,1
Physidae,,,1,,,
Planorbidae,,,1,,,1
Valvatidae,1,,1,,,1
Viviparidae,1,,1,,,1
Corbiculidae,1,,,,,
Dreissenidae,1,,,,,
Sphaeriidae,1,,,,,
Unionidae,1,,,1,1,
Enchytraeidae,,1,,,,
Naididae,,1,1,,1,
Erpobdellidae,,,,,1,
Glossiphoniidae,,,,1,1,
Branchiobdellidae,,,1,1,,
Argulidae,,,,1,1,
Asellidae,,,,,,1
Astacidae,,,,,1,1
Corophiidae,,1,,,,1
Crangonyctidae,,,,,,1
Gammaridae,,,1,,1,1
Potamidae,,,,,1,1
Talitridae,,,1,,1,1
Baetidae,,1,1,,,1
Caenidae,,1,,,,1
Ephemerellidae,,1,1,,1,1
Ephemeridae,1,1,,,1,1
Heptageniidae,,1,1,,,1
Leptophlebiidae,,1,1,,,1
Siphlonuridae,,1,1,,1,1
Aeshnidae,,,,,1,
Calopterygidae,,,,,1,
Coenagrionidae,,,,,1,
Cordulegastridae,,,,,1,
Corduliidae,,,,,1,
Gomphidae,,,,,1,
Lestidae,,,,,1,
Libellulidae,,,,,1,
Platycnemididae,,,,,1,
Capniidae,,,,,,1
Chloroperlidae,,1,1,,1,1
Leuctridae,,1,1,,,1
Nemouridae,,1,,,,1
Perlidae,,,,,1,1
Perlodidae,,,1,,1,1
Taeniopterygidae,,,1,,,1
Corixidae,,,1,,1,1
Gerridae,,,,,1,
Hydrometridae,,,,,1,
Mesoveliidae,,,,,1,
Nepidae,,,,,1,
Notonectidae,,,,,1,
Veliidae,,,,,1,
Sialidae,,,,,1,
Osmylidae,,,,,1,
Sisyridae,,,,1,1,1
Chrysomelidae,,,,,,1
Dryopidae,,,1,,,1
Dytiscidae,,,,,1,1
Elmidae,,,1,,,1
Gyrinidae,,,,,1,1
Haliplidae,,,,,1,1
Helophoridae,,,1,,,1
Hydraenidae,,,1,,,1
Hydrophilidae,,,,,1,1
Hygrobiidae,,,,,1,1
Noteridae,,,,,1,1
Scirtidae,,,1,,,1
Ichneumonidae,,,,1,,
Apataniidae,,1,1,,1,
Beraeidae,,1,,,,1
Brachycentridae,1,1,1,,1,1
Ecnomidae,1,,,,1,1
Glossosomatidae,,1,1,,,
Goeridae,,,1,,,1
Helicopsychidae,,,1,,,1
Hydropsychidae,1,,,,1,
Hydroptilidae,,1,1,,1,1
Lepidostomatidae,,,,,,1
Leptoceridae,,1,1,1,1,1
Limnephilidae,,1,1,,1,1
Molannidae,,1,1,,1,
Philopotamidae,1,,1,,1,
Phryganeidae,,,1,,1,1
Polycentropodidae,1,,,,1,1
Psychomyiidae,1,1,1,,1,
Rhyacophilidae,,,,,1,1
Sericostomatidae,,,1,,,1
Uenoidae,,,1,,,
Athericidae,,,,,1,
Blephariceridae,,,1,,,
Blephariceridae,,,1,,,
Ceratopogonidae,,1,1,,1,1
Chaoboridae,,1,,,1,1
Culicidae,,1,1,,1,
Cylindrotomidae,,,,,,1
Dixidae,1,,,,1,1
Dolichopodidae,,,,,1,
Empididae,,,,,1,
Ephydridae,1,1,1,1,1,1
Muscidae,,,,,1,1
Psychodidae,,1,1,,,1
Ptychopteridae,,1,,,,1
Rhagionidae,,,,,1,
Sciomyzidae,,,,1,1,
Stratiomyidae,,1,1,,1,1
Syrphidae,1,1,,,,1
Tabanidae,,,,,1,1
Thaumaleidae,,,1,,,1
Tipulidae,,1,,,1,1
Chironomidae,1,1,1,1,1,1
Plumatellidae,1,,,,,
